NO,name,smi,Dataset,logPapp
D-1613,Tiaprofenic Acid,s1c(ccc1C(C(O)=O)C)C(=O)c1ccccc1,Tr,-4.4099998
D-1615,Tinidazole,S(=O)(=O)(CCn1c(ncc1N(O)O)C)CC,Tr,-4.52
D-1618,Tolmetin,OC(=O)Cc1n(C)c(cc1)C(=O)c1ccc(cc1)C,Tr,-5.0900002
D-1623,Trazodone,Clc1cc(N2CCN(CC2)CCCN2N=C3N(C=CC=C3)C2=O)ccc1,Tr,-4.6199999
D-1624,Triazolam,Clc1ccccc1C1=NCc2n(-c3c1cc(Cl)cc3)c(nn2)C,Tr,-4.5500002
D-1626,Trimethoprim,O(C)c1c(OC)cc(cc1OC)Cc1cnc(nc1N)N,Tr,-4.2452402
D-1627,Trovafloxacin,Fc1cc(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(nc12)N1C[C@@H]2[C@H](C1)C2N,Tr,-4.52
D-1628,Valacyclovir,O=C1N=C(Nc2n(cnc12)COCCOC(=O)[C@@H](N)C(C)C)N,Tr,-5.7199998
D-1629,Valproic acid,OC(=O)C(CCC)CCC,Tr,-4.3200002
D-1630,Valsartan,OC(=O)[C@@H](N(Cc1ccc(cc1)-c1ccccc1-c1[nH]nnn1)C(=O)CCCC)C(C)C,Tr,-6.2600002
D-1632,Warfarin,O1c2c(cccc2)C(O)=C(C(CC(=O)C)c2ccccc2)C1=O,Tr,-4.4245906
D-1634,Yohimbine (YOH),OC1CCC2C(CC3N(C2)CCc2c3[nH]c3c2cccc3)C1C(OC)=O,Tr,-4.8099999
D-1635,Zaltoprofen,S1c2c(cccc2)C(=O)Cc2cc(ccc12)C(C(O)=O)C,Tr,-4.4000001
D-1637,Ziprasidone,Clc1cc2NC(=O)Cc2cc1CCN1CCN(CC1)c1nsc2c1cccc2,Tr,-4.9100471
D-1639,Zolpidem,O=C(N(C)C)Cc1n2C=C(C=Cc2nc1-c1ccc(cc1)C)C,Tr,-4.5
D-1640,Zomepirac,Clc1ccc(cc1)C(=O)c1n(C)c(cc1C)CC(O)=O,Tr,-4.6100001
D-1641,Salicylic acid,Oc1ccccc1C(O)=O,Tr,-4.7388554
D-1642,Flavone,O1c2c(cccc2)C(=O)C=C1c1ccccc1,Tr,-3.9201083
D-1646,Gly-Pro (glycylproline),OC(=O)[C@H]1N(CCC1)C(=O)CN,Tr,-5.2123351
D-1647,Phencyclidine (PCP),N1(CCCCC1)C1(CCCCC1)c1ccccc1,Tr,-4.48
D-1648,Dopamine,Oc1cc(ccc1O)CCN,Tr,-4.8699999
D-1649,Bremazocine,OC1(CC1)CN1C2Cc3c(cc(O)cc3)C(CC1)(CC)C2(C)C,Tr,-4.7316446
D-1657,DMP 851,O=C1N(Cc2cc3c([nH]nc3N)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H](N1CCCC)Cc1ccccc1,Tr,-5.6788902
D-1661,N-Acetyl-D-alanyl-D-phenylalanine N-Methylamide (2),O=C(N[C@@H](C(=O)N[C@H](Cc1ccccc1)C(=O)NC)C)C,Tr,-5.7484403
D-1662,N-Acetyl-D-valyl-D-phenylalanine N-Methylamide (3a),O=C(N[C@H](C(C)C)C(=O)N[C@H](Cc1ccccc1)C(=O)NC)C,Tr,-5.3900242
D-1664,N-Acetyl-D-phenylalanyl-D-phenylalanine N-Methylamide (5a),O=C(N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NC)C,Tr,-5.0499268
D-1665,N-Acetyl-D-cyclohexylalanyl-D-phenylalanine N-Methylamide (6),O=C(N[C@H](CC1CCCCC1)C(=O)N[C@H](Cc1ccccc1)C(=O)NC)C,Tr,-5.1413336
D-1667,N-Acetyl-D-alanine Phenethylamide (8),O=C(N[C@@H](C(=O)NCCc1ccccc1)C)C,Tr,-4.6095328
D-1669,N-Acetyl-D-leucine Phenethylamide (10),O=C(N[C@H](CC(C)C)C(=O)NCCc1ccccc1)C,Tr,-4.5132465
D-1670,N-Acetyl-D-phenylalanine Phenethylamide (11a),O=C(N[C@H](Cc1ccccc1)C(=O)NCCc1ccccc1)C,Tr,-4.4210458
D-1671,N-Acetyl-D-cyclohexylalanine Phenethylamide (12),O=C(N[C@H](CC1CCCCC1)C(=O)NCCc1ccccc1)C,Tr,-4.3517656
D-1672,1,S(=O)(=O)(NC(Cc1cc(ccc1)C(N)=N)CC(=O)N1CCC(CC1)C)c1cc2c(cc1)cccc2,Tr,-6.8762317
D-1673,2,S(=O)(=O)(NC(Cc1cc(ccc1)C(N)=N)CC(=O)N1CCCCC1C(O)=O)c1cc2c(cc1)cccc2,Tr,-7.3814998
D-1674,3,S(=O)(=O)(NC(Cc1cc(ccc1)C(N)=N)CC(=O)N1CCCCC1C(OC)=O)c1cc2c(cc1)cccc2,Tr,-7.1178856
D-1675,4,S(=O)(=O)(NC(Cc1cc(ccc1)C(N)=N)CC(=O)N1CC(CCC1)C(O)=O)c1cc2c(cc1)cccc2,Tr,-7.3820248
D-1677,6,S(=O)(=O)(NC(Cc1cc(ccc1)C(N)=N)CC(=O)N1CCC(CC1)C(O)=O)c1cc2c(cc1)cccc2,Tr,-7.3390937
D-1678,7,S(=O)(=O)(NC(Cc1cc(ccc1)C(N)=N)CC(=O)N1CCC(CC1)C(OC)=O)c1cc2c(cc1)cccc2,Tr,-7.0912943
D-1679,8,S(=O)(=O)(NC(Cc1cc(ccc1)C(NO)=N)CC(=O)N1CCC(CC1)C(O)=O)c1cc2c(cc1)cccc2,Tr,-7.3677616
D-1680,9,S(=O)(=O)(NC(Cc1cc(ccc1)C(NC)=N)CC(=O)N1CCC(CC1)C(O)=O)c1cc2c(cc1)cccc2,Tr,-7.1487603
D-1684,13,S(=O)(=O)(NC(Cc1cc(N)ccc1)CC(=O)N1CCC(CC1)C)c1cc2c(cc1)cccc2,Tr,-4.997839
D-1687,16,S(=O)(=O)(NC(Cc1cc(ccc1)C(NC)=N)CC(=O)N1CCC(CC1)C)c1cc2c(cc1)cccc2,Tr,-6.8503904
D-1691,Alprenolol ester,O(CC(OC(=O)C1CC1)CNC(C)C)c1ccccc1CC=C,Tr,-4.1507826
D-1692,Betaxolol ester,O(CC(OC(=O)C1CC1)CNC(C)C)c1ccc(cc1)CCOCC1CC1,Tr,-4.1300812
D-1699,Naloxone,O1[C@@H]2[C@]34CCN([C@H](Cc5c3c1c(O)cc5)[C@]4(O)CCC2=O)CC=C,Tr,-4.5717716
D-1700,Oxprenolol ester,O(CC(OC(=O)C1CC1)CNC(C)C)c1ccccc1OCC=C,Tr,-4.1920457
D-1702,Timolol ester,s1nc(N2CCOCC2)c(OC[C@@H](OC(=O)C2CC2)CNC(C)(C)C)n1,Tr,-4.2808533
D-1704,CNV 97101,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(N(CC1)C)C,Tr,-4.6607714
D-1705,CNV 97102,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(N(CC1)CC)C,Tr,-4.7723451
D-1706,CNV 97103,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(N(CC1)CCC)C,Tr,-4.819078
D-1707,CNV 97104,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(N(CC1)CCCC)C,Tr,-4.8584924
D-1708,Artemisinin,O1[C@@H]2O[C@@]3(OO[C@]24[C@@H](CC[C@H]([C@@H]4CC3)C)[C@@H](C)C1=O)C,Tr,-4.5190401
D-1709,Sulfasalazine,S(=O)(=O)(Nc1ncccc1)c1ccc(N\N=C\2/C=C(C(O)=O)C(=O)C=C/2)cc1,Tr,-6.5171175
D-1711,V,O(CC)c1cc(NC(OCCN2CCCC2)=O)ccc1,Tr,-4.5500002
D-1712,VIII,O(CCC)c1cc(NC(OCCN2CCCC2)=O)ccc1,Tr,-4.5700002
D-1713,XI,O(CCCC)c1cc(NC(OCCN2CCCC2)=O)ccc1,Tr,-4.5900002
D-1714,XIV,O(CCCCC)c1cc(NC(OCCN2CCCC2)=O)ccc1,Tr,-4.77
D-1716,"DB75 [2,5-bis(4-amidinophenyl)furan]",o1c(ccc1-c1ccc(cc1)C(N)=N)-c1ccc(cc1)C(N)=N,Tr,-6.4201083
D-1721,Gomisin A,O1c2c(OC1)cc1c(-c3c(cc(OC)c(OC)c3OC)C[C@@](O)(C)[C@H](C1)C)c2OC,Tr,-4.5693183
D-1722,Cumarin,O1c2c(C=CC1=O)cccc2,Tr,-4.0350132
D-1723,Epinephrine,Oc1cc(ccc1O)C(O)CNC,Tr,-6.0188646
D-1724,Fleroxacin,Fc1c2N(C=C(C(O)=O)C(=O)c2cc(F)c1N1CCN(CC1)C)CCF,Tr,-4.8099742
D-1725,Mibefradil,Fc1cc2c(cc1)[C@H](C(C)C)[C@](OC(=O)COC)(CC2)CCN(CCCc1[nH]c2c(n1)cccc2)C,Tr,-4.98
D-1727,Ceftriaxone,s1cc(nc1N)/C(=N\OC)/C(=O)N[C@H]1[C@H]2SCC(CSC3=NC(=O)C(=O)NN3C)=C(N2C1=O)C(O)=O,Tr,-6.604713
D-1728,Penicillin G,S1[C@@H]2N([C@H](C(O)=O)C1(C)C)C(=O)[C@@H]2NC(=O)Cc1ccccc1,Tr,-5.8697934
D-1732,BVaraU,Br\C=C\C1=CN([C@H]2O[C@@H](CO)[C@H](O)[C@H]2O)C(=O)NC1=O,Tr,-5.3989701
D-1734,Glutamine,OC(=O)[C@@H](N)CCC(=O)N,Tr,-6.0702906
D-1736,LY334370,Fc1ccc(cc1)C(=O)Nc1cc2c([nH]cc2C2CCN(CC2)C)cc1,Tr,-5.3211966
D-1738,Dexamethasone-?-D-glucoside,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)COC4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,Tr,-6.3982739
D-1740,Lactulose,O1[C@@](O)(CO)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1CO,Tr,-6.5364394
D-1745,Alfentanil,O=C1N(N=NN1CC)CCN1CCC(N(C(=O)CC)c2ccccc2)(CC1)COC,Tr,-3.8
D-1746,PNU 200603,[nH]1c2cc(ccc2nc1-c1ncccc1)C(N)=N,Tr,-6.4579659
D-1748,L-alanine,OC(=O)[C@@H](N)C,Tr,-5.4201083
D-1751,Tiotidine,s1cc(nc1\N=C(\N)/N)CSCCN\C(=N\C)\NC#N,Tr,-5.6587887
D-1753,Glycylsarcosine,OC(=O)CN(C(=O)CN)C,Tr,-4.9000001
D-1755,Valaciclovir,O=C1N=C(Nc2n(cnc12)COCCOC(=O)[C@@H](N)C(C)C)N,Tr,-5.6791363
D-1758,MEN15596,s1c2cc(ccc2cc1C(=O)NC1(CCCC1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCC1CCN(CC1)CC1CCOCC1)C,Tr,-5.2912149
D-1760,9-Nitrocamptothecin (9-NC),O1CC2=C(C=C3N(Cc4c3nc3c(c4)c(N(O)O)ccc3)C2=O)[C@@](O)(CC)C1=O,Tr,-5.1985431
D-1761,H 95/71,O(CC(O)CNC(C)C)c1ccc(NC=O)cc1,Tr,-5.4279842
D-1762,H 244/45,O(CC(O)CNC(C)C)c1ccc(NC(=O)CC)cc1,Tr,-5.2198415
D-1765,Oxacillin,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)c1c(noc1C)-c1ccccc1,Tr,-4.8797116
D-1771,Cyclo(-PFwKTF-) (1),O=C1N[C@@H](CCCCN)C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2[C@@H](CCC2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H]1Cc1c2c([nH]c1)cccc2,Tr,-6.2209244
D-1773,Cyclo(-PFwKTMeF-) (3),O=C1N(C)[C@@H](Cc2ccccc2)C(=O)N2[C@@H](CCC2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2c3c([nH]c2)cccc3)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]1[C@H](O)C,Tr,-6.3005152
D-1774,Cyclo(-PFMewKTF-) (4),O=C1N(C)[C@H](Cc2c3c([nH]c2)cccc3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2[C@@H](CCC2)C(=O)N[C@H]1Cc1ccccc1,Tr,-6.3989701
D-1775,Cyclo(-PFMewMeKTF-) (6),O=C1N(C)[C@@H](CCCCN)C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2[C@@H](CCC2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H]1Cc1c2c([nH]c1)cccc2,Tr,-6.7423639
D-1776,Ac-D-phe-NH2,O=C(N[C@@H](Cc1ccccc1)C(=O)N)C,Tr,-5.10009
D-1777,Ac-D-phe2-NH2,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)N)C,Tr,-5.6994848
D-1779,Ac-D-phe2-(NMe-D-phe)-NH2,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)N([C@@H](Cc1ccccc1)C(=O)N)C)C,Tr,-5.3484769
D-1780,Ac-D-phe-(NMe-D-phe)2-NH2 {[14C]-Acf(N-Mef)2NH2 },O=C(N[C@@H](Cc1ccccc1)C(=O)N([C@H](Cc1ccccc1)C(=O)N([C@@H](Cc1ccccc1)C(=O)N)C)C)C,Tr,-4.9229274
D-1781,Ac-(NMe-D-phe)3-NH2,O=C(N([C@@H](Cc1ccccc1)C(=O)N([C@H](Cc1ccccc1)C(=O)N([C@@H](Cc1ccccc1)C(=O)N)C)C)C)C,Tr,-4.6937804
D-1782,Ac-(NMe-D-phe)3-NHMe,O=C(N([C@@H](Cc1ccccc1)C(=O)N([C@H](Cc1ccccc1)C(=O)N([C@@H](Cc1ccccc1)C(=O)NC)C)C)C)C,Tr,-4.4948897
D-1785,BMS 189664,S(=O)(=O)(N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCC1CCN(CC1)C(N)=N)C,Tr,-6.5611248
D-1788,PNU200969,O(CC)C(=O)NC(=N)c1cc2[nH]c(nc2cc1)Cc1[nH]c2c(n1)cccc2,Tr,-6.152451
D-1791,PNU-93936A,Fc1cc(N2CC(OC2=O)CNC(=O)C)cc(F)c1-c1ccncc1,Tr,-4.29
D-1792,PNU-100766,Fc1cc(N2C[C@@H](OC2=O)CNC(=O)C)ccc1N1CCOCC1,Tr,-4.6788902
D-1796,PNU-184435,S=C(NC[C@@H]1OC(=O)N(C1)c1cc(F)c(N2CCCS(=O)CC2)cc1)C,Tr,-5.3386211
D-1797,PNU-184249,S=C(NC[C@@H]1OC(=O)N(C1)c1cc(F)c(N2CCN(CC2)C=O)cc1)CC,Tr,-4.4579659
D-1802,PNU-184148,S=C(NC[C@@H]1OC(=O)N(C1)c1cc(F)c(N2CCN(CC2)C(=O)CO)cc1)C1CC1,Tr,-4.4308991
D-1803,PNU-184147,S=C(NC[C@@H]1OC(=O)N(C1)c1cc(F)c(N2CCN(CC2)C(=O)CO)cc1)CC,Tr,-4.7423639
D-1805,PNU-184421,Fc1cc(N2C[C@@H](OC2=O)CNC(=O)C)ccc1-c1ccc(nc1)C#N,Tr,-4.3783755
D-1809,PNU-184470,S=C(NC[C@@H]1OC(=O)N(C1)c1cc(F)c(N2CCCS(=O)(=O)CC2)cc1)C,Tr,-4.6391363
D-1812,PNU-179962,s1c(nnc1CC\C(=N/O)\C)-c1ccc(N2C[C@@H](OC2=O)CNC(=O)C)cc1F,Tr,-5.250906
D-1814,PNU-179399,S=C(NC[C@@H]1OC(=O)N(C1)c1cc(F)c(cc1)C1CCS(=O)(=O)CC1)N,Tr,-5.8880281
D-1818,"NK1NK2 analogue 105 (MDL 105,212)",Clc1cc(ccc1Cl)[C@]1(CCN(C1)C(=O)c1cc(OC)c(OC)c(OC)c1)CCN1CCC(CC1)(C(=O)N)c1ccccc1,Tr,-5.4105153
D-1820,NK1NK2 analogue 212 (15d),Clc1cc(ccc1Cl)[C@]1(CCN(C1)C(=O)c1cc(OC)c(OC)c(OC)c1)CCN1CCC(CC1)(C(=O)N1CCOCC1)c1ccccc1,Tr,-5.0814137
D-1821,366094,Fc1c(cccc1F)C(C(=O)NC)c1cc2n(C(C)C)c(nc2cc1)N,Tr,-5
D-1822,"EI analogue 101 (MDL 101,146)",FC(F)(C(=O)C(NC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)c1ccc(cc1)C(=O)N1CCOCC1)C(C)C)C(C)C)C(F)(F)F,Tr,-5.098455
D-1823,354400,S(=O)(=O)(n1c2cc(ccc2nc1N)C(C(=O)N)c1cc(F)ccc1F)NC(C)C,Tr,-4.5388007
D-1824,"EI analogue 102 (MDL 102,111)",FC(F)(C(=O)C(NC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)N1CCOCC1)C(C)C)C(C)C)C(F)(F)F,Tr,-4.5178499
D-1826,368177,Fc1ccccc1C(C(=O)NC)c1cc2n(C3CCCC3)c(nc2cc1)N,Tr,-4.9074507
D-1827,Thiamin (Vitamin B1),s1c[n+](Cc2cnc(nc2N)C)c(C)c1CCO,Tr,-5.2685814
D-1828,6MAQH (W2),SCC(=O)NCCCCCC(=O)Nc1c2ncccc2ccc1,Tr,-4.8496218
D-1839,Bicyclol,O1c2c(OC1)c(OC)cc(C(OC)=O)c2-c1c2OCOc2c(OC)cc1CO,Tr,-4.7979398
D-1842,5'-L-phenylalanyl-floxuridine,FC1=CN([C@H]2O[C@@H](COC(=O)C(N)Cc3ccccc3)[C@H](O)C2)C(=O)NC1=O,Tr,-5.3891382
D-1844,5'-L-isoleucyl-floxuridine,FC1=CN([C@H]2O[C@@H](COC(=O)C(N)C(CC)C)[C@H](O)C2)C(=O)NC1=O,Tr,-5.5908804
D-1845,5'-L-valyl-L-phenylalanyl-floxuridine,FC1=CN([C@H]2O[C@@H](COC(=O)C(NC(=O)C(N)C(C)C)Cc3ccccc3)[C@H](O)C2)C(=O)NC1=O,Tr,-6.080461
D-1846,5'-L-leucyl-L-glycyl-floxuridine,FC1=CN([C@H]2O[C@@H](COC(=O)CNC(=O)C(N)CC(C)C)[C@H](O)C2)C(=O)NC1=O,Tr,-5.4206805
D-1851,Tanshinol (TSL),Oc1cc(ccc1O)CC(O)C(O)=O,Tr,-5.9118199
D-1853,Salvianolic acid A (SAA),Oc1c(\C=C\c2cc(O)c(O)cc2)c(ccc1O)\C=C\C(OC(Cc1cc(O)c(O)cc1)C(O)=O)=O,Tr,-7.2277412
D-1855,Salvianolic acid D (SAD),Oc1c(CC(O)=O)c(ccc1O)\C=C\C(OC(Cc1cc(O)c(O)cc1)C(O)=O)=O,Tr,-7.1795707
D-1857,Lithospermic acid (LSA),O1c2c(C(C(O)=O)C1c1cc(O)c(O)cc1)c(ccc2O)\C=C\C(OC(Cc1cc(O)c(O)cc1)C(O)=O)=O,Tr,-7.0891552
D-1869,14,Oc1cc(C)c(C[C@H](NC(=O)C(N)CCCCCC)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc2c3c([nH]c2)cccc3)C(=O)N[C@@H](Cc2ccccc2)C(=O)N)c(c1)C,Tr,-6.2223768
D-1873,Epimedin A,O1c2c(ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2C\C=C(\C)/C)C(=O)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)=C1c1ccc(OC)cc1,Tr,-6.4910722
D-1874,Epimedin B,O1c2c(C(=O)C(O[C@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3OC[C@H](O)[C@@H](O)[C@@H]3O)=C1c1ccc(OC)cc1)c(O)cc(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c2C\C=C(\C)/C,Tr,-6.5595455
D-1876,Icariin,O1c2c(C(=O)C(O[C@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@@H]3O)=C1c1ccc(OC)cc1)c(O)cc(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c2C\C=C(\C)/C,Tr,-6.2292061
D-1877,Baohuoside I,O1c2c(C(=O)C(O[C@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@@H]3O)=C1c1ccc(OC)cc1)c(O)cc(O)c2C\C=C(\C)/C,Tr,-5.8378239
D-1878,Umbelliferone,O1c2cc(O)ccc2C=CC1=O,Tr,-4.5710139
D-1882,Angelol-A,O1c2cc(OC)c(cc2C=CC1=O)[C@@H](OC(=O)\C(=C/C)\C)[C@H](O)C(O)(C)C,Tr,-4.8123703
D-1883,Angelol-B,O1c2cc(OC)c(cc2C=CC1=O)[C@H](O)[C@H](OC(=O)\C(=C/C)\C)C(O)(C)C,Tr,-4.8499289
D-1884,"8-Hydroxy-pentadeca-(9E,13Z)-dien-11-yn-2-one (2)",OC(\C=C\C#C\C=C/C)CCCCCC(=O)C,Tr,-4.3099017
D-1885,"Pentadeca-(8Z,13Z)dien-11-yn-2-one (5)",O=C(CCCCC\C=C/CC#C\C=C/C)C,Tr,-5
D-1886,"Tetradec-(8Z)-ene-11,13-diyn-2-one (6)",O=C(CCCCC\C=C/CC#CC#C)C,Tr,-4.492425
D-1888,"(2E)-N-Isobutylundeca-2-ene-8,10-diynamide (2) mw=231",O=C(NCC(C)C)\C=C\CCCCC#CC#C,Tr,-3.8599999
D-1892,SB639,O=C(NO)\C=C\c1cc2nc(n(c2cc1)CCN1CCCC1)CCc1ccccc1,Tr,-5.5207167
D-1899,PB-26,S(=O)(=O)(N(Cc1cc(-n2cccc2)ccc1)C1Cc2cc(ccc2N(C1)Cc1n(cnc1)C)C#N)c1ncccc1,Tr,-5.6391363
D-1900,PB-27,S(=O)(=O)(N(Cc1ncccc1)C1Cc2cc(ccc2N(C1)Cc1n(cnc1)C)C#N)c1ncccc1,Tr,-5.7979398
D-1906,PB-104,S(=O)(=O)(N(CC1CCN(CC1)C(OCC)=O)C1Cc2cc(ccc2N(C1)Cc1n(cnc1)C)C#N)c1ncccc1,Tr,-5.5875134
D-1907,MEN14268,s1c2c(cc1C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1)cccc2,Tr,-5.0478787
D-1909,MEN14732,O1CCN(CC1)CCCNC(=O)[C@H](NC(=O)C1(NC(=O)c2ccc(cc2)-c2ccccc2)CCCC1)Cc1ccccc1,Tr,-4.7399998
D-1910,MEN14745,o1c2c(cc1C(=O)NC1(CCCC1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1)cccc2,Tr,-5.2209244
D-1914,MEN15353,s1c2c(cc1C(=O)NC1(CCCC1)C(=O)N[C@H](Cc1ccccc1)C(=O)NC1CCN(CC1)CC1CCOCC1)cccc2,Tr,-5.0700002
D-1915,MEN15366,s1c2c(cc1C(=O)NC1(CCCC1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCC1CCN(CC1)CC1CCOCC1)cccc2,Tr,-5.4094677
D-1917,MEN15716,s1c2cc(N(CC)CC)ccc2cc1C(=O)NC1(CCCC1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCC1CCN(CC1)CC1CCOCC1,Tr,-4.997839
D-1918,-,OC(=O)c1ccncc1,Tr,-5.1900001
D-1919,-,n1cc(N)ccc1,Tr,-4.5380535
D-1920,-,O=C(N)c1ccncc1,Tr,-4.2782722
D-1921,-,Clc1ccncc1,Tr,-4.220202
D-1924,-,OCc1ccncc1,Tr,-4.0902224
D-1925,-,n1ccc(cc1)-c1ccccc1,Tr,-4.0680037
D-1926,-,n1ccc(N)cc1,Tr,-4.0202255
D-1928,-,n1ccc(cc1)CC,Tr,-3.9723473
D-1929,-,n1ccccc1,Tr,-3.9703081
D-1930,-,n1ccc(cc1)C,Tr,-3.9612868
D-1932,-,n1cc(ccc1)-c1ccccc1,Tr,-3.8880284
D-1934,4'-Cl BZT,Clc1ccc(cc1)C(OC1CC2N([C@@H](C1)CC2)C)c1ccccc1,Tr,-4.9114642
D-1935,"3',4''-diCl BZT",Clc1cc(ccc1)C(OC1CC2N([C@@H](C1)CC2)C)c1ccc(Cl)cc1,Tr,-5.5975828
D-1939,7-MF,O1c2c(ccc(OC)c2)C(=O)C=C1c1ccccc1,Tr,-4.6479459
D-1941,"5,7-DMF",O1c2c(C(=O)C=C1c1ccccc1)c(OC)cc(OC)c2,Tr,-4.6313224
D-1942,"5,7,4'-TMF",O1c2c(C(=O)C=C1c1ccc(OC)cc1)c(OC)cc(OC)c2,Tr,-4.5595455
D-1944,"7,4'-DHF",O1c2c(ccc(O)c2)C(=O)C=C1c1ccc(O)cc1,Tr,-5.2123351
D-1945,"Chrysin (5,7-DHF)",O1c2c(C(=O)C=C1c1ccccc1)c(O)cc(O)c2,Tr,-5.0105972
D-1946,"Apigenin (5,7,4'-THF)",O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2,Tr,-4.9821801
D-1947,12d,S(=O)(=O)(N(Cc1ccccc1)CCN(Cc1n(cnc1)C)c1ccc(cc1)C#N)c1ncn(c1)C,Tr,-5.9593034
D-1950,12q,S(=O)(=O)(N(CC1CCCCC1)CCN(Cc1n(cnc1)C)c1ccc(cc1)C#N)c1ncn(c1)C,Tr,-5.8219547
D-1954,Biotin-Saquinavir,S1CC2NC(=O)NC2C1CCCCC(OC([C@@H](NC(=O)[C@@H](NC(=O)c1nc2c(cc1)cccc2)CC(=O)N)Cc1ccccc1)CN1CC2C(C[C@H]1C(=O)NC(C)(C)C)CCCC2)=O,Tr,-6.4094677
D-1958,G6191,O=C1N(CC(=O)N(c2c1cc(NCc1ccc(cc1)C(N)=N)cc2)C)CCC(O)=O,Tr,-6.4579659
D-1961,G6262,O(Cc1ccc(cc1)C(N)=N)c1cc2c(N(C)C(=O)CN(CCC(OCC)=O)C2=O)cc1,Tr,-6.3682656
D-1962,G6264,O=C1N(CC(=O)N(c2c1cc(NCc1ccc(cc1)C(N)=N)cc2)C)CCC(OCC)=O,Tr,-6.8519359
D-1968,XP13512,O(C(OC(=O)NCC1(CCCCC1)CC(O)=O)C)C(=O)C(C)C,Tr,-4.5093193
D-1969,20(S)-camptothecin (CPT),O1CC2=C(C=C3N(c4c(nc5c(c4)cccc5)C3)C2=O)[C@](O)(CC)C1=O,Tr,-4.3318486
D-1970,353462,S(=O)(=O)(n1c2cc(ccc2nc1N)C(C(=O)N)c1cc(F)ccc1)NC(=O)N(C)C,Tr,-4.1700001
D-1971,366853,Fc1c(cccc1F)C(C(=O)N)c1cc2n(C(C)C)c(nc2cc1)N,Tr,-5.1874509
D-1978,"(2E,4Z)-N-(2-methylbutyl)dodeca-2,4-diene-8,10-diynamide (8) mw= 257",O=C(NCC(CC)C)\C=C\C=C/CCC#CC#CC,Tr,-4.1224694
D-1979,"(2E)-N-(2-methylbutyl)dodeca-2-ene-8,10-diynamide (9) mw = 259",O=C(NCC(CC)C)\C=C\CCCCC#CC#CC,Tr,-4.2295737
D-1987,CPU-86017,Clc1ccc(cc1)C[N+]12C(Cc3c(C1)c(OC)c(OC)cc3)c1c(CC2)cc2OCOc2c1.[Cl-],Tr,-6.2314224
D-1990,Harmol,Oc1cc2[nH]c3c(c2cc1)ccnc3C,Tr,-5.302259
